global time	experiment	device	displayid	canvasid	videoTime
32:30.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0	0	-1
32:30.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0	0	-1
32:30.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0	0	-1
32:30.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	0	0	-1
33:50.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	1	-1	-1
33:52.2	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	1	5	1.099989
40:48.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	1	-1	-1
41:12.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	1	6	24.13309
41:36.8	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	1	-1	-1
41:48.5	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	1	7	35.83297
41:51.8	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	1	6	24.13309
42:31.6	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	1	-1	-1
45:05.3	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	1	7	177.7982
48:10.6	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	1	-1	-1
48:37.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	1	8	205.0313
49:14.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	1	-1	-1
49:47.8	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	1	9	237.8976
50:06.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	1	-1	-1
51:59.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	1	10	350.8298
53:26.3	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	1	-1	-1
53:48.0	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	1	11	372.4963
53:58.4	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	1	-1	-1
54:13.9	d4c86ecb10df6b71604834021429c805	Android OS 8.1.0 / API-27 (OPM1.171019.026/eng.scmbui.20201106.173408)	1	12	387.9628
